"timestamp","consent","lifesat","econnow","econfut","attcheck","discuss_nat","discuss_eu","discuss_loc","trust_media","trust_parties","trust_legal","trust_police","trust_army","trust_gov","trust_eu","trust_nato","imageeu","demsat","ukract_sanction","ukract_weapons","ukract_refugee","prolific_id","age","sex","residence","education","party"
NA,"I agree","Fairly satisfied","Rather good","Worse","Once a day","Frequently","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Tend to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Tend to agree","Totally disagree","EL1O380261",25,"male","London",NA,NA
NA,"I agree","Not very satisfied","Don't know","Worse","Once a day","Frequently","Frequently","Frequently","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Very positive","Don't know","Totally agree","Totally agree","Totally agree","T6PBSYTQMX",20,"male","London",NA,NA
NA,"I agree","Not at all satisfied","Rather bad","Worse","Once a day","Frequently","Frequently","Never","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Very positive","Not very satisfied","Tend to agree","Totally agree","Totally agree","ZWNQ1HCDSV",24,"male","East Midlands",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Occasionally","Never","Occasionally","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Fairly negative","Fairly satisfied","Totally agree","Tend to agree","Totally agree","32FLZSSRAU",20,"female","London",NA,NA
NA,"I agree","Very satisfied","Rather good","Worse","Few times a month","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Very positive","Fairly satisfied","Totally agree","Totally disagree","Tend to agree","706XFHUASK",25,"male","South West",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Couple of times a day","Never","Never","Frequently","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Neutral","Not very satisfied","Totally agree","Tend to agree","Totally agree","3GMWGKR4JX",27,"female","Wales",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Never","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Don't know","Tend not to trust","Don't know","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally disagree","Totally agree","FMWQ0D1CM9",21,"female","London",NA,NA
NA,"I agree","Very satisfied","Rather good","The same","Once a day","Never","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Very negative","Not very satisfied","Don't know","Totally agree","Totally agree","8HA9IONVG0",24,"female","West Midlands",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Better","Once a day","Occasionally","Occasionally","Occasionally","Don't know","Tend not to trust","Tend not to trust","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Neutral","Not very satisfied","Totally agree","Tend to agree","Totally agree","GRUF4Y76KZ",23,"female","London",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Never","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally disagree","Tend to agree","8R4NNF1IB5",21,"male","London",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Couple of times a day","Occasionally","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Fairly positive","Not at all satisfied","Tend to agree","Tend to agree","Totally agree","VBJUF1UKB8",29,"female","London",NA,NA
NA,"I agree","Very satisfied","Very bad","Worse","Never","Frequently","Never","Occasionally","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Don't know","Very negative","Fairly satisfied","Totally disagree","Totally agree","Totally agree","BRIOYHQQE9",20,"female","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Very bad","The same","Once a day","Occasionally","Never","Never","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Fairly negative","Not very satisfied","Don't know","Totally agree","Totally agree","Z66HLPVLQW",22,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather good","The same","Once a day","Frequently","Frequently","Never","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Fairly negative","Not very satisfied","Totally agree","Tend to disagree","Tend to disagree","GUGQCOYMLG",21,"female","East Midlands",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Never","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Fairly satisfied","Tend to agree","Totally agree","Tend to disagree","JAASMPDX1C",18,"female","South West",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Occasionally","Occasionally","Don't know","Tend not to trust","Tend not to trust","Don't know","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Neutral","Not very satisfied","Tend to agree","Totally agree","Totally agree","0WZK8FPN7O",24,"female","London",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Occasionally","Occasionally","Never","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Totally agree","21EOXYTP03",19,"female","East of England",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Never","Frequently","Occasionally","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally agree","Tend to agree","WBTUBGQQ2D",26,"female","East of England",NA,NA
NA,"I agree","Fairly satisfied","Very good","The same","Once a day","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Neutral","Very satisfied","Totally agree","Totally agree","Totally agree","TEKAHBP8WV",24,"male","North East",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Better","Few times a week","Never","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Don't know","Tend to trust","Fairly positive","Fairly satisfied","Totally agree","Totally agree","Tend to agree","L8D2HH3NBH",27,"female","London",NA,NA
NA,"I agree","Fairly satisfied","Rather good","The same","Never","Occasionally","Never","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Neutral","Not at all satisfied","Totally agree","Totally agree","Totally agree","YSU31XRTDG",25,"male","South East",NA,NA
NA,"I agree","Very satisfied","Don't know","Worse","Once a day","Occasionally","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Fairly negative","Fairly satisfied","Totally agree","Totally agree","Totally agree","TQGI3QC5E2",25,"female","North West",NA,NA
NA,"I agree","Not at all satisfied","Rather bad","Don't know","Once a day","Occasionally","Occasionally","Don't know","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Not at all satisfied","Totally agree","Tend to disagree","Totally agree","9OEQEMFQU2",26,"male","South East",NA,NA
NA,"I agree","Very satisfied","Rather good","Worse","Once a day","Never","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Fairly positive","Fairly satisfied","Totally agree","Tend to agree","Tend to agree","Y0JO3T77X5",29,"female","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Worse","Once a day","Frequently","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Tend not to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Tend to agree","T59UBZJMYF",22,"female","South West",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Occasionally","Never","Frequently","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Not very satisfied","Totally disagree","Totally agree","Totally agree","LDJLOIZ0X1",19,"male","North East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Frequently","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Neutral","Not very satisfied","Totally disagree","Totally agree","Totally agree","81AWYF0275",27,"male","Scotland",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Once a day","Occasionally","Never","Never","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Fairly positive","Fairly satisfied","Totally agree","Tend to agree","Totally agree","B5R5YTECUP",18,"female","Northern Ireland",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Never","Never","Frequently","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Don't know","Tend to trust","Tend to trust","Neutral","Not at all satisfied","Tend to agree","Totally agree","Totally agree","MTV3YAWOZE",24,"male","North West",NA,NA
NA,"I agree","Very satisfied","Rather good","Better","Once a day","Occasionally","Frequently","Never","Tend not to trust","Tend not to trust","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Very positive","Not very satisfied","Totally agree","Totally agree","Tend to agree","VIZB4VPSDE",18,"male","East Midlands",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Totally agree","J187H34LVT",26,"male","North East",NA,NA
NA,"I agree","Very satisfied","Very bad","The same","Once a day","Never","Never","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Neutral","Not at all satisfied","Totally agree","Totally agree","Totally agree","PN4ZAYIVLP",27,"male","South East",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Once a day","Occasionally","Never","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Fairly positive","Not very satisfied","Totally agree","Totally agree","Tend to agree","KL7SNS6X57",27,"female","Scotland",NA,NA
NA,"I agree","Not at all satisfied","Very bad","Better","Few times a month","Occasionally","Occasionally","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Fairly negative","Fairly satisfied","Totally agree","Totally agree","Tend to agree","19LAVPB2WQ",18,"male","North East",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Few times a week","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Totally agree","PQNQVSS6CV",26,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Once a day","Occasionally","Never","Don't know","Tend not to trust","Tend to trust","Don't know","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Tend to disagree","ZUTQA13QEM",20,"female","North East",NA,NA
NA,"I agree","Very satisfied","Very bad","Better","Once a day","Never","Occasionally","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Neutral","Not at all satisfied","Tend to agree","Tend to agree","Totally agree","PXTZTHPS71",19,"female","London",NA,NA
NA,"I agree","Very satisfied","Rather bad","The same","Once a day","Occasionally","Occasionally","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Not at all satisfied","Totally agree","Totally agree","Tend to agree","5FL5MWTKQ7",25,"male","South West",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Once a day","Never","Frequently","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Don't know","Very negative","Not at all satisfied","Tend to disagree","Totally agree","Totally agree","3MPBNOZCAK",19,"female","West Midlands",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Once a day","Never","Never","Never","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Don't know","Very positive","Not at all satisfied","Totally agree","Totally agree","Totally agree","7V3EN4IQXO",18,"male","South East",NA,NA
NA,"I agree","Very satisfied","Rather bad","Better","Once a day","Frequently","Never","Frequently","Don't know","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Neutral","Not very satisfied","Don't know","Totally agree","Totally agree","EBWJ7ZXODU",24,"male","West Midlands",NA,NA
NA,"I agree","Fairly satisfied","Very good","Worse","Few times a week","Occasionally","Frequently","Never","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Very positive","Very satisfied","Totally agree","Tend to agree","Tend to agree","1KS766DWBA",27,"male","North East",NA,NA
NA,"I agree","Very satisfied","Very bad","The same","Once a day","Frequently","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Very positive","Not at all satisfied","Don't know","Don't know","Totally agree","7I3QUTY9Y6",25,"male","South East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Never","Never","Never","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Neutral","Very satisfied","Tend to disagree","Totally agree","Tend to disagree","VCPPTIBO7N",19,"female","Wales",NA,NA
NA,"I agree","Very satisfied","Very bad","Better","Once a day","Never","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Very negative","Not very satisfied","Tend to agree","Don't know","Tend to agree","08QE88FMKS",18,"female","East of England",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Couple of times a day","Occasionally","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Neutral","Fairly satisfied","Tend to agree","Totally disagree","Don't know","ZE61MPDVKM",25,"female","South East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Couple of times a day","Never","Never","Frequently","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Fairly positive","Not very satisfied","Tend to agree","Don't know","Totally agree","G80BFBY1AG",19,"female","East of England",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Once a day","Frequently","Never","Don't know","Tend not to trust","Tend not to trust","Don't know","Tend to trust","Tend to trust","Don't know","Tend to trust","Tend not to trust","Neutral","Fairly satisfied","Tend to agree","Totally disagree","Tend to disagree","YY9RXYECVR",20,"female","South West",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Worse","Once a day","Occasionally","Occasionally","Never","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Tend to agree","Don't know","RDBQZNGDV7",19,"female","East Midlands",NA,NA
NA,"I agree","Very satisfied","Rather good","Don't know","Once a day","Frequently","Never","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Don't know","Fairly positive","Fairly satisfied","Totally agree","Don't know","Totally agree","6BJDF3ATFT",29,"female","North West",NA,NA
NA,"I agree","Very satisfied","Don't know","The same","Once a day","Never","Never","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Not at all satisfied","Totally agree","Totally agree","Totally agree","6F2JZISU1R",20,"male","South West",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Better","Once a day","Frequently","Frequently","Never","Tend not to trust","Tend not to trust","Don't know","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Very negative","Not very satisfied","Totally agree","Don't know","Don't know","JQVHR51XCL",26,"male","Wales",NA,NA
NA,"I agree","Fairly satisfied","Don't know","Better","Once a day","Frequently","Frequently","Never","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Not very satisfied","Tend to agree","Totally agree","Tend to agree","RY84E4TQLM",22,"male","North West",NA,NA
NA,"I agree","Not very satisfied","Very good","Worse","Once a day","Never","Never","Frequently","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Don't know","Tend not to trust","Tend not to trust","Tend not to trust","Very positive","Fairly satisfied","Totally agree","Tend to agree","Don't know","S3B8ZIIW5Q",22,"female","Yorkshire and The Humber",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Worse","Few times a week","Frequently","Never","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Fairly satisfied","Totally agree","Totally disagree","Totally agree","C3KMM8OVGZ",26,"male","London",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Worse","Once a day","Occasionally","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Don't know","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Fairly satisfied","Tend to agree","Tend to disagree","Totally agree","X6MJISASUC",24,"male","Northern Ireland",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Once a day","Occasionally","Frequently","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Fairly negative","Fairly satisfied","Totally agree","Don't know","Totally disagree","CGGKUAY7AX",23,"male","South East",NA,NA
NA,"I agree","Very satisfied","Very bad","Better","Once a day","Never","Never","Occasionally","Tend to trust","Don't know","Tend to trust","Tend to trust","Don't know","Tend to trust","Tend to trust","Tend to trust","Don't know","Not very satisfied","Tend to agree","Tend to disagree","Don't know","MQ7C7QW1VM",23,"female","East Midlands",NA,NA
NA,"I agree","Fairly satisfied","Rather good","The same","Couple of times a day","Never","Never","Never","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally agree","Tend to agree","5PSCUKGGKN",28,"female","South West",NA,NA
NA,"I agree","Very satisfied","Very bad","Better","Once a day","Frequently","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Fairly negative","Fairly satisfied","Totally agree","Totally agree","Totally agree","NKTX4JNT3J",20,"male","Yorkshire and The Humber",NA,NA
NA,"I agree","Very satisfied","Very bad","The same","Once a day","Frequently","Occasionally","Frequently","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Tend to agree","Don't know","836LKHTDIH",26,"female","Scotland",NA,NA
NA,"I agree","Not very satisfied","Very bad","Worse","Once a day","Never","Never","Occasionally","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Very positive","Not at all satisfied","Tend to agree","Totally agree","Totally agree","AL39XJJYLP",26,"female","East of England",NA,NA
NA,"I agree","Fairly satisfied","Rather good","Better","Once a day","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Very satisfied","Don't know","Totally agree","Tend to agree","H0HOYNR77S",24,"male","West Midlands",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Few times a week","Frequently","Occasionally","Frequently","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Neutral","Fairly satisfied","Totally agree","Totally disagree","Totally agree","OQ9NS5JYM9",21,"female","East of England",NA,NA
NA,"I agree","Fairly satisfied","Very bad","Better","Few times a week","Occasionally","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Don't know","Fairly satisfied","Totally agree","Totally agree","Totally agree","Z8Y4LV13WP",18,"male","South East",NA,NA
NA,"I agree","Very satisfied","Very bad","The same","Once a day","Occasionally","Never","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Neutral","Fairly satisfied","Tend to agree","Tend to agree","Totally agree","2RK7L6O7T6",29,"male","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Worse","Once a day","Never","Never","Occasionally","Don't know","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Don't know","Fairly positive","Fairly satisfied","Totally agree","Totally agree","Tend to agree","SK8ZRUI6UC",27,"female","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Once a day","Occasionally","Occasionally","Frequently","Tend not to trust","Don't know","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Don't know","Tend to trust","Very positive","Not very satisfied","Totally agree","Totally agree","Tend to agree","SRSQ13H76E",27,"male","East of England",NA,NA
NA,"I agree","Very satisfied","Very bad","The same","Once a day","Frequently","Occasionally","Occasionally","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Not very satisfied","Tend to agree","Totally agree","Tend to agree","RMTUZ4OGZG",19,"female","North East",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","Better","Few times a month","Never","Occasionally","Occasionally","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend to trust","Tend not to trust","Tend to trust","Neutral","Fairly satisfied","Totally agree","Totally disagree","Tend to agree","O52M7D9USB",24,"female","South West",NA,NA
NA,"I agree","Not very satisfied","Rather bad","Worse","Few times a month","Never","Occasionally","Don't know","Tend not to trust","Tend not to trust","Tend to trust","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Very positive","Not at all satisfied","Tend to disagree","Totally agree","Totally agree","QDU9JTG2PR",24,"female","East Midlands",NA,NA
NA,"I agree","Very satisfied","Rather bad","Worse","Never","Occasionally","Never","Never","Tend to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend not to trust","Fairly positive","Fairly satisfied","Totally agree","Don't know","Tend to agree","O8WQZPVEQG",25,"female","Scotland",NA,NA
NA,"I agree","Fairly satisfied","Rather bad","The same","Once a day","Never","Frequently","Frequently","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend to trust","Tend not to trust","Tend not to trust","Tend to trust","Neutral","Very satisfied","Totally agree","Tend to agree","Totally agree","A08XI6CZ5Z",26,"male","Scotland",NA,NA
NA,"I agree","Very satisfied","Rather good","The same","Once a day","Frequently","Frequently","Never","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend not to trust","Tend to trust","Tend not to trust","Very positive","Not at all satisfied","Totally disagree","Tend to disagree","Totally agree","LP14HWMVFN",25,"male","Northern Ireland",NA,NA
