ID,PEWINTMOB,PEWDEVICE1A,PEWSNSINT2,PEWQ20,PEWINTFREQ,PEWTECH1,POL20F1,POL19F2,POL1,POL1AA,POL1AB,POL30F2,ATTENTION,POL62F1A,POL62F1B,AGE,SEX,RACE,STATE
24,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly united,NA,22,Male,White,Indiana
25,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly united,28,Female,White,Florida
26,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,Better than expected,About right,Approve,Very strongly,NA,A stronger position internationally,I am paying attention,Mostly united,NA,41,Female,Other,Florida
27,Yes,Yes,Yes,Somewhat confident,Almost constantly,Equal positive and negative effects,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,32,male,White,New Jersey
28,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,Worse than expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,24,Female,"Black,White",Florida
29,Yes,Yes,Yes,Very confident,Almost constantly,Equal positive and negative effects,Better than expected,About right,Approve,Very strongly,NA,A stronger position internationally,I am paying attention,NA,NA,26,Female,White,Florida
30,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,About as expected,Too impulsive,Disapprove,NA,Very strongly,About the same position internationally,I am paying attention,NA,Mostly united,43,female,White,Michigan
31,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,Mostly divided,NA,26,Male,White,Maryland
32,Yes,Yes,Yes,Very confident,Almost constantly,Mostly positive,About as expected,Too impulsive,Disapprove,NA,Very strongly,A weaker position internationally,I am paying attention,NA,Mostly divided,34,female,White,California
33,Yes,Yes,Yes,Somewhat confident,Several times a day,Mostly positive,Better than expected,About right,Approve,Very strongly,NA,A stronger position internationally,I am paying attention,Mostly united,NA,32,male,White,California
34,Yes,Yes,Yes,Somewhat confident,Several times a day,Mostly positive,Better than expected,About right,Approve,Very strongly,NA,A stronger position internationally,I am paying attention,NA,Mostly united,45,Male,Other,Florida
