varname_sicss;varname_eb;question;answer;proportion
ukract_sanction.5;QE2.1;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Imposing economic sanctions on Russian government, companies and individuals ;Don't know;0.06
ukract_weapons.1;QE2.3;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Financing the purchase and supply of military equipment to Ukraine;Totally agree;0.49
ukract_weapons.2;QE2.3;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Financing the purchase and supply of military equipment to Ukraine;Tend to agree;0.29
ukract_weapons.3;QE2.3;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Financing the purchase and supply of military equipment to Ukraine;Tend to disagree;0.11
ukract_weapons.4;QE2.3;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Financing the purchase and supply of military equipment to Ukraine;Totally disagree;0.05
ukract_weapons.5;QE2.3;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Financing the purchase and supply of military equipment to Ukraine;Don't know;0.06
ukract_refugee.1;QE2.5;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Welcoming into the EU people fleeing the war ;Totally agree;0.66
ukract_refugee.2;QE2.5;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Welcoming into the EU people fleeing the war ;Tend to agree;0.24
ukract_refugee.3;QE2.5;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Welcoming into the EU people fleeing the war ;Tend to disagree;0.05
ukract_refugee.4;QE2.5;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Welcoming into the EU people fleeing the war ;Totally disagree;0.01
ukract_refugee.5;QE2.5;The EU has taken a series of actions as a response to Russia's invasion of Ukraine. To what extent you agree or disagree with each of these actions taken. Welcoming into the EU people fleeing the war ;Don't know;0.04
