"","id","id_str","name","screen_name","location","description","url","followers_count","friends_count"
"512",18909919,"18909919","Jim Langevin","JimLangevin","Warwick, RI and Washington, DC","Congressman for Rhode Island's   Second District","http://t.co/b5flQt30hG",16551,4298
"513",18805303,"18805303","Jeff Fortenberry","JeffFortenberry","Lincoln, NE / Washington, D.C.","U.S. Representative for the First Congressional District of Nebraska","http://t.co/beLyQVqp1e",13961,2214
"514",18773159,"18773159","RepScottPerry","RepScottPerry","","Husband, Father of two young daughters, Small Businessman and Soldier. Congressman - 4th District (PA).","http://t.co/eu7DgRNJJj",8837,2714
"515",18696134,"18696134","Albio Sires","RepSires","Washington, DC","U.S. Representative for New Jersey's 8th Congressional District","http://t.co/HW6WuZesn2",13660,246
"516",18695134,"18695134","Senator Bob Menendez","SenatorMenendez","","Proudly serving the State of New Jersey in the United States Senate.","http://t.co/k4dLi6HYYJ",82759,708
"517",18632666,"18632666","Jerry Moran","JerryMoran","Kansas","Proud to represent Kansans in the United States Senate","http://t.co/CBA3beMHNs",36888,3037
"518",18566912,"18566912","Jeb Hensarling","RepHensarling","Washington, D.C.","Fighting to control spending & tax increases while advancing the principles of family, free enterprise, and freedom.","http://t.co/N8cPbQA9ZA",19000,768
"519",18277655,"18277655","Rep. Pete King","RepPeteKing","Seaford, New York","Representing New York's 2nd Congressional District","http://t.co/KPR17HxYvl",24682,102
"520",18166778,"18166778","Rep. Jim Jordan","Jim_Jordan","Washington, D.C. ","Proudly serving Ohio's beautiful fourth district.","http://t.co/c12aOiA0EU",46646,5238
"521",18137749,"18137749","Chris Van Hollen","ChrisVanHollen","","U.S. Senator, Maryland","https://t.co/TrgkGknGmN",46047,2341
"522",18061669,"18061669","Sen. Lisa Murkowski","lisamurkowski","Alaska & Washington, D.C.","Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.","https://t.co/I9sMLHODtC",59358,536
"523",18030431,"18030431","Judge Carter","JudgeCarter","#TX31 ","U.S. Congressman proudly serving the 31st District of Texas. Former Judge. Proud @TexasTech Red Raider.","https://t.co/iPPDu1iB3W",12903,643
"524",17976923,"17976923","CathyMcMorrisRodgers","cathymcmorris","Spokane, WA & Washington, DC","Proudly serving Washington's beautiful 5th District in Congress, Chair of the House Republican Conference. Mom of three.","https://t.co/VmKvrs9Ni1",36144,5197
"525",17907578,"17907578","Dina Titus","dinatitus","Fabulous Las Vegas, Nevada","Representative of Nevada's First District. Tweeting politics, culture & #OnlyInDistrict1 For my official account see @repdinatitus","https://t.co/nJxR59HXbP",5627,1149
"526",17896154,"17896154","Blake Farenthold","farenthold","Corpus Christi, TX","Proudly serving Texas' 27th Congressional District. @GOPoversight @HouseJudiciary @Transport","http://t.co/pkXZtbphWU",10754,1014
"527",17800215,"17800215","Jason Chaffetz","jasoninthehouse","Utah/Washington D.C.","United States Congressman (UT-3). Chairman, Oversight & Government Reform. Tweets come from me, not my staff.","http://t.co/V5xxDxy4AZ",247173,1420
"528",17544524,"17544524","Rep. Todd Rokita","ToddRokita","Indiana","Todd Rokita, U.S. Representative of the 4th District of Indiana. Chairman of Subcommittee on Early Childhood, Elementary, and Secondary Education.","http://t.co/AihDW6GPeY",15547,3423
"529",17513304,"17513304","Rep. Erik Paulsen","RepErikPaulsen","Minnesota's 3rd Congressional","Proudly serving the people of Minnesota's Third Congressional District","http://t.co/qu2t0eG5E7",15866,2777
"530",17494010,"17494010","Chuck Schumer","SenSchumer","New York, NY","Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement","http://t.co/actuzGi0EG",507634,26583
"531",16424044,"16424044","Ed & Workforce Cmte","EdWorkforce","Washington, D.C.","U.S. House Education & the Workforce Committee: Fiscally Responsible Reforms for Students, Workers, & Retirees. Chaired by @VirginiaFoxx","http://t.co/HQdNWBeHMs",12454,633
"532",16256269,"16256269","Virginia Foxx","virginiafoxx","Banner Elk, NC","Congresswoman Virginia Foxx. Conservative representing North Carolina's Fifth District.","http://t.co/v3FwVSsRH1",17920,1360
"533",16160352,"16160352","Claire McCaskill","clairecmc","Missouri/ Washington DC","","https://t.co/CiPCnTjvEN",177101,16
"534",16102244,"16102244","Dave Reichert","davereichert","Auburn, Washington","Representative of the Eighth Congressional District in Washington State","http://t.co/xGxisoccFO",16477,3024
"535",16056306,"16056306","Jeff Flake","JeffFlake","Mesa, AZ","Senator from Arizona",,48972,211
"536",15954997,"15954997","Earl Blumenauer","repblumenauer","Portland, OR","Congressman","http://t.co/jc7xekwWHB",33034,199
"537",15856366,"15856366","Lamar Smith","LamarSmithTX21","TX21","I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi","http://t.co/1dfigsNXcr",20186,3686
"538",15808765,"15808765","Cory Booker","CoryBooker","Newark, NJ","U.S. Senator from New Jersey",,2752528,92072
"539",15764644,"15764644","Nancy Pelosi","NancyPelosi","San Francisco","Democratic Leader, focused on strengthening America's middle class and creating jobs; mother, grandmother, dark chocolate connoisseur.","http://t.co/wt2ed3XGGr",1064694,319
"540",15751083,"15751083","Michael Burgess, MD","michaelcburgess","Washington, DC/Lake Dallas, TX","Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life","http://t.co/qj3aLBJUa9",22124,1709
"541",15745368,"15745368","Marco Rubio","marcorubio","United States","US Senator for Florida. Follow @SenRubioPress for more updates.","https://t.co/xm4vZLmGV0",2119809,2457
"542",15600527,"15600527","John Shimkus","RepShimkus","Illinois, USA","I represent the 15th Congressional District of Illinois and Chair the @HouseCommerce Environment Subcommittee.","https://t.co/mFzyexaRq4",21411,1080
"543",15394954,"15394954","U.S. Rep. Bob Latta","boblatta","ÜT: 41.052377,-82.130057","Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.","http://t.co/dSKBcpo6FL",27470,5871
"544",15361570,"15361570","Jared Polis","jaredpolis","Boulder, CO","father, entrepreneur,education policy, baseball, tech, politics, gaymer - My day job is representing the most beautiful Congressional district in the country",,41499,4111
"545",15356407,"15356407","Rep. Rob Wittman","RobWittman","Montross, VA","proud husband, father, grandfather; humble Rep. of VA's 1st District; Seapower and Projection Forces Subcommittee Chair; advocate of sportsman-led conservation","http://t.co/JcHDjLlep2",22599,6907
"546",15324851,"15324851","Senator Chris Coons","ChrisCoons","Wilmington, DE","Father, husband, U.S. Senator from the State of Delaware",,49190,2176
"547",14984637,"14984637","Chellie Pingree","chelliepingree","Maine -- the best place to be!","Farmer, mother, Maine islander, Member of Congress, lover of root vegetables","http://t.co/vYvpiUxqqo",18294,568
"548",14904437,"14904437","johnculberson","johnculberson","Houston TX/Washington DC","John Culberson: Proud father, happy husband. TX Congressman-Jeffersonian Republican. Let Texans Run Texas. Amateur astronomer","http://t.co/EHj4Qg6Op2",17307,11321
"549",14845376,"14845376","Lindsey Graham","GrahamBlog","Washington, DC","Twitter feed for U.S. Senator Lindsey Graham of South Carolina.","http://t.co/x7LZALizg6",111044,2126
"550",14344823,"14344823","Senate Republicans","SenateGOP","Washington, D.C.","News and updates from Republican senators and their staff.","https://t.co/LRez78SkoK",465325,33176
"551",14275291,"14275291","Ileana Ros-Lehtinen","RosLehtinen","Miami, Florida","Blessed to rep beautiful South Florida and the wonderful folks who live here!","https://t.co/4TcYrpc886",90923,2141
"552",14135426,"14135426","Rep. Keith Ellison","keithellison","Minneapolis — Washington, D.C.","Member of Congress from Minnesota's Fifth District. Co-Chair, @USProgressives. Host of We The Podcast. Subscribe here: https://t.co/NSnxwreA3H","https://t.co/UKGSZjmSR6",290879,6386
"553",13491312,"13491312","Congressman Tim Ryan","RepTimRyan","Warren, OH","Congressman Tim Ryan, proudly serving Ohio's 13th District in the United States Congress","http://t.co/AfCE33OzuX",41497,2232
"554",13218102,"13218102","JohnCornyn","JohnCornyn","Austin, Texas","Honored to represent the great state of Texas in the US Senate.","http://t.co/XHRaiuD2kE",99388,10946
"555",12788332,"12788332","Ways and Means","WaysandMeansGOP","Washington, D.C.","Oldest House committee with jurisdiction over taxes, trade, healthcare, welfare, and Social Security.","http://t.co/tcSTUfM2xb",28442,552
"556",11651202,"11651202","Steve Daines","SteveDaines","Bozeman, MT","Serving the people of Montana in the U.S. Senate.","https://t.co/6cQwcMCeGt",12648,651
"557",10615232,"10615232","ChuckGrassley","ChuckGrassley","Iowa","U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.","https://t.co/CM45Tl33ts",121074,14216
"558",7429102,"7429102","Mark Warner","MarkWarner","Virginia","Senior U.S. Senator, Va. Vice Chairman, Intel Committee. Previous: Serial entrepreneur, business guy, His Excellency the 69th Governor of the Commonwealth of Va","https://t.co/sIM9jRW0rP",113574,11087
"559",7334402,"7334402","Al Franken","alfranken","Minnesota","This account is administered by Al's campaign team: #TeamFranken.","https://t.co/ZEEK59Ml9O",384816,46220
"560",7270292,"7270292","Jim Inhofe","JimInhofe","Oklahoma","United States Senator from the great state of Oklahoma.","http://t.co/MsjJPG2F5l",28644,331
"561",6577802,"6577802","Tom Price","RepTomPrice","Washington, D.C. ","Former U.S. Representative for Georgia's 6th Congressional District.   Current @HHSGov Secretary. Follow me @SecPriceMD.  This is an archived account.",,40653,3207
"562",5558312,"5558312","Senator John Boozman","JohnBoozman","Arkansas","Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843","http://t.co/PnVwyyvcAT",42030,687
